date,sales
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-18,0.0
2013-01-19,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,0.0
2013-01-26,0.0
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-01,0.0
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-08,0.0
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-15,0.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,0.0
2013-02-23,0.0
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-02,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-09,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-15,0.0
2013-03-16,0.0
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-22,0.0
2013-03-23,0.0
2013-03-24,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-03-29,0.0
2013-03-30,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-05,0.0
2013-04-06,0.0
2013-04-07,0.0
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,0.0
2013-04-12,0.0
2013-04-13,0.0
2013-04-14,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,0.0
2013-04-20,0.0
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-26,0.0
2013-04-27,0.0
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,0.0
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,0.0
2013-05-10,0.0
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-17,0.0
2013-05-18,0.0
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,0.0
2013-05-24,0.0
2013-05-25,0.0
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,0.0
2013-05-29,0.0
2013-05-30,0.0
2013-05-31,0.0
2013-06-01,0.0
2013-06-02,0.0
2013-06-03,0.0
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,0.0
2013-06-11,0.0
2013-06-12,0.0
2013-06-13,0.0
2013-06-14,0.0
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,0.0
2013-06-18,0.0
2013-06-19,0.0
2013-06-20,0.0
2013-06-21,0.0
2013-06-22,0.0
2013-06-23,0.0
2013-06-24,0.0
2013-06-25,0.0
2013-06-26,0.0
2013-06-27,0.0
2013-06-28,0.0
2013-06-29,0.0
2013-06-30,0.0
2013-07-01,0.0
2013-07-02,0.0
2013-07-03,0.0
2013-07-04,0.0
2013-07-05,0.0
2013-07-06,0.0
2013-07-07,0.0
2013-07-08,0.0
2013-07-09,0.0
2013-07-10,0.0
2013-07-11,0.0
2013-07-12,0.0
2013-07-13,0.0
2013-07-14,0.0
2013-07-15,0.0
2013-07-16,0.0
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,0.0
2013-07-20,0.0
2013-07-21,0.0
2013-07-22,0.0
2013-07-23,0.0
2013-07-24,0.0
2013-07-25,0.0
2013-07-26,0.0
2013-07-27,0.0
2013-07-28,0.0
2013-07-29,0.0
2013-07-30,0.0
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,0.0
2013-08-03,0.0
2013-08-04,0.0
2013-08-05,0.0
2013-08-06,0.0
2013-08-07,0.0
2013-08-08,0.0
2013-08-09,0.0
2013-08-10,0.0
2013-08-11,0.0
2013-08-12,0.0
2013-08-13,0.0
2013-08-14,0.0
2013-08-15,0.0
2013-08-16,0.0
2013-08-17,0.0
2013-08-18,0.0
2013-08-19,0.0
2013-08-20,0.0
2013-08-21,0.0
2013-08-22,0.0
2013-08-23,0.0
2013-08-24,0.0
2013-08-25,0.0
2013-08-26,0.0
2013-08-27,0.0
2013-08-28,0.0
2013-08-29,0.0
2013-08-30,0.0
2013-08-31,0.0
2013-09-01,0.0
2013-09-02,0.0
2013-09-03,0.0
2013-09-04,0.0
2013-09-05,0.0
2013-09-06,0.0
2013-09-07,0.0
2013-09-08,0.0
2013-09-09,0.0
2013-09-10,0.0
2013-09-11,0.0
2013-09-12,0.0
2013-09-13,0.0
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,0.0
2013-09-17,0.0
2013-09-18,0.0
2013-09-19,0.0
2013-09-20,0.0
2013-09-21,0.0
2013-09-22,0.0
2013-09-23,0.0
2013-09-24,0.0
2013-09-25,0.0
2013-09-26,0.0
2013-09-27,0.0
2013-09-28,0.0
2013-09-29,0.0
2013-09-30,0.0
2013-10-01,0.0
2013-10-02,0.0
2013-10-03,0.0
2013-10-04,0.0
2013-10-05,0.0
2013-10-06,0.0
2013-10-07,0.0
2013-10-08,0.0
2013-10-09,0.0
2013-10-10,0.0
2013-10-11,0.0
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,0.0
2013-10-15,0.0
2013-10-16,0.0
2013-10-17,0.0
2013-10-18,0.0
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,0.0
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,0.0
2013-10-25,0.0
2013-10-26,0.0
2013-10-27,0.0
2013-10-28,0.0
2013-10-29,0.0
2013-10-30,0.0
2013-10-31,0.0
2013-11-01,0.0
2013-11-02,0.0
2013-11-03,0.0
2013-11-04,0.0
2013-11-05,0.0
2013-11-06,0.0
2013-11-07,0.0
2013-11-08,0.0
2013-11-09,0.0
2013-11-10,0.0
2013-11-11,0.0
2013-11-12,0.0
2013-11-13,0.0
2013-11-14,0.0
2013-11-15,0.0
2013-11-16,0.0
2013-11-17,0.0
2013-11-18,0.0
2013-11-19,0.0
2013-11-20,0.0
2013-11-21,0.0
2013-11-22,0.0
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,0.0
2013-11-26,0.0
2013-11-27,0.0
2013-11-28,0.0
2013-11-29,0.0
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,0.0
2013-12-03,0.0
2013-12-04,0.0
2013-12-05,0.0
2013-12-06,0.0
2013-12-07,0.0
2013-12-08,0.0
2013-12-09,0.0
2013-12-10,0.0
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,0.0
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,0.0
2013-12-17,0.0
2013-12-18,0.0
2013-12-19,0.0
2013-12-20,0.0
2013-12-21,0.0
2013-12-22,0.0
2013-12-23,0.0
2013-12-24,0.0
2013-12-25,103.2
2013-12-26,0.0
2013-12-27,0.0
2013-12-28,0.0
2013-12-29,0.0
2013-12-30,0.0
2013-12-31,0.0
2014-01-01,225.2
2014-01-02,539.0
2014-01-03,391.0
2014-01-04,745.0
2014-01-05,677.0
2014-01-06,363.0
2014-01-07,243.0
2014-01-08,344.0
2014-01-09,222.0
2014-01-10,268.0
2014-01-11,587.0
2014-01-12,617.0
2014-01-13,304.0
2014-01-14,264.0
2014-01-15,266.0
2014-01-16,239.0
2014-01-17,248.0
2014-01-18,540.0
2014-01-19,555.0
2014-01-20,301.0
2014-01-21,238.0
2014-01-22,308.0
2014-01-23,231.0
2014-01-24,300.0
2014-01-25,500.0
2014-01-26,462.0
2014-01-27,242.0
2014-01-28,247.0
2014-01-29,252.0
2014-01-30,246.0
2014-01-31,285.0
2014-02-01,0.0
2014-02-02,0.0
2014-02-03,0.0
2014-02-04,0.0
2014-02-05,0.0
2014-02-06,0.0
2014-02-07,0.0
2014-02-08,0.0
2014-02-09,0.0
2014-02-10,0.0
2014-02-11,0.0
2014-02-12,0.0
2014-02-13,0.0
2014-02-14,0.0
2014-02-15,0.0
2014-02-16,0.0
2014-02-17,0.0
2014-02-18,0.0
2014-02-19,0.0
2014-02-20,0.0
2014-02-21,0.0
2014-02-22,0.0
2014-02-23,0.0
2014-02-24,0.0
2014-02-25,0.0
2014-02-26,0.0
2014-02-27,0.0
2014-02-28,0.0
2014-03-01,610.0
2014-03-02,292.0
2014-03-03,219.0
2014-03-04,347.0
2014-03-05,432.0
2014-03-06,379.0
2014-03-07,347.0
2014-03-08,493.0
2014-03-09,670.0
2014-03-10,294.0
2014-03-11,248.0
2014-03-12,261.0
2014-03-13,213.0
2014-03-14,201.0
2014-03-15,401.0
2014-03-16,527.0
2014-03-17,286.0
2014-03-18,221.0
2014-03-19,209.0
2014-03-20,206.0
2014-03-21,209.0
2014-03-22,489.0
2014-03-23,545.0
2014-03-24,254.0
2014-03-25,235.0
2014-03-26,297.0
2014-03-27,202.0
2014-03-28,295.0
2014-03-29,470.0
2014-03-30,568.0
2014-03-31,324.0
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,0.0
2014-04-04,0.0
2014-04-05,0.0
2014-04-06,0.0
2014-04-07,0.0
2014-04-08,0.0
2014-04-09,0.0
2014-04-10,0.0
2014-04-11,0.0
2014-04-12,0.0
2014-04-13,0.0
2014-04-14,0.0
2014-04-15,0.0
2014-04-16,0.0
2014-04-17,0.0
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,0.0
2014-04-22,0.0
2014-04-23,0.0
2014-04-24,0.0
2014-04-25,0.0
2014-04-26,0.0
2014-04-27,0.0
2014-04-28,0.0
2014-04-29,0.0
2014-04-30,0.0
2014-05-01,0.0
2014-05-02,0.0
2014-05-03,0.0
2014-05-04,0.0
2014-05-05,0.0
2014-05-06,0.0
2014-05-07,0.0
2014-05-08,0.0
2014-05-09,0.0
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,0.0
2014-05-16,0.0
2014-05-17,0.0
2014-05-18,0.0
2014-05-19,0.0
2014-05-20,0.0
2014-05-21,0.0
2014-05-22,0.0
2014-05-23,0.0
2014-05-24,0.0
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,0.0
2014-05-29,0.0
2014-05-30,0.0
2014-05-31,0.0
2014-06-01,0.0
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,0.0
2014-06-05,0.0
2014-06-06,0.0
2014-06-07,0.0
2014-06-08,0.0
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,0.0
2014-06-13,0.0
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,0.0
2014-06-19,0.0
2014-06-20,0.0
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,0.0
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,0.0
2014-06-28,0.0
2014-06-29,0.0
2014-06-30,0.0
2014-07-01,443.0
2014-07-02,421.0
2014-07-03,319.0
2014-07-04,314.0
2014-07-05,524.0
2014-07-06,551.0
2014-07-07,304.0
2014-07-08,282.0
2014-07-09,260.0
2014-07-10,224.0
2014-07-11,255.0
2014-07-12,444.0
2014-07-13,456.0
2014-07-14,301.0
2014-07-15,260.0
2014-07-16,276.0
2014-07-17,226.0
2014-07-18,277.0
2014-07-19,466.0
2014-07-20,488.0
2014-07-21,307.0
2014-07-22,237.0
2014-07-23,271.0
2014-07-24,245.0
2014-07-25,254.0
2014-07-26,415.0
2014-07-27,480.0
2014-07-28,312.0
2014-07-29,238.0
2014-07-30,264.0
2014-07-31,261.0
2014-08-01,0.0
2014-08-02,0.0
2014-08-03,0.0
2014-08-04,0.0
2014-08-05,0.0
2014-08-06,0.0
2014-08-07,0.0
2014-08-08,0.0
2014-08-09,0.0
2014-08-10,0.0
2014-08-11,0.0
2014-08-12,0.0
2014-08-13,0.0
2014-08-14,0.0
2014-08-15,0.0
2014-08-16,0.0
2014-08-17,0.0
2014-08-18,0.0
2014-08-19,0.0
2014-08-20,0.0
2014-08-21,0.0
2014-08-22,0.0
2014-08-23,0.0
2014-08-24,0.0
2014-08-25,0.0
2014-08-26,0.0
2014-08-27,0.0
2014-08-28,0.0
2014-08-29,0.0
2014-08-30,0.0
2014-08-31,0.0
2014-09-01,458.0
2014-09-02,342.0
2014-09-03,416.0
2014-09-04,257.0
2014-09-05,268.0
2014-09-06,482.0
2014-09-07,572.0
2014-09-08,340.0
2014-09-09,272.0
2014-09-10,279.0
2014-09-11,206.0
2014-09-12,231.0
2014-09-13,464.0
2014-09-14,495.0
2014-09-15,325.0
2014-09-16,235.0
2014-09-17,281.0
2014-09-18,212.0
2014-09-19,236.0
2014-09-20,486.0
2014-09-21,509.0
2014-09-22,262.0
2014-09-23,264.0
2014-09-24,265.0
2014-09-25,193.0
2014-09-26,205.0
2014-09-27,486.0
2014-09-28,502.0
2014-09-29,272.0
2014-09-30,330.0
2014-10-01,416.0
2014-10-02,345.0
2014-10-03,357.0
2014-10-04,642.0
2014-10-05,677.0
2014-10-06,353.0
2014-10-07,265.0
2014-10-08,318.0
2014-10-09,248.0
2014-10-10,408.0
2014-10-11,424.0
2014-10-12,549.0
2014-10-13,304.0
2014-10-14,266.0
2014-10-15,284.0
2014-10-16,260.0
2014-10-17,271.0
2014-10-18,465.0
2014-10-19,579.0
2014-10-20,318.0
2014-10-21,259.0
2014-10-22,289.0
2014-10-23,240.0
2014-10-24,257.0
2014-10-25,375.0
2014-10-26,560.0
2014-10-27,293.0
2014-10-28,192.0
2014-10-29,292.0
2014-10-30,194.0
2014-10-31,239.0
2014-11-01,606.0
2014-11-02,529.0
2014-11-03,631.0
2014-11-04,331.0
2014-11-05,343.0
2014-11-06,213.0
2014-11-07,248.0
2014-11-08,486.0
2014-11-09,499.0
2014-11-10,266.0
2014-11-11,227.0
2014-11-12,267.0
2014-11-13,177.0
2014-11-14,196.0
2014-11-15,451.0
2014-11-16,452.0
2014-11-17,240.0
2014-11-18,301.0
2014-11-19,259.0
2014-11-20,207.0
2014-11-21,228.0
2014-11-22,410.0
2014-11-23,541.0
2014-11-24,254.0
2014-11-25,247.0
2014-11-26,247.0
2014-11-27,194.0
2014-11-28,260.0
2014-11-29,608.0
2014-11-30,697.0
2014-12-01,370.0
2014-12-02,322.0
2014-12-03,309.0
2014-12-04,221.0
2014-12-05,293.0
2014-12-06,523.0
2014-12-07,530.0
2014-12-08,378.0
2014-12-09,218.0
2014-12-10,253.0
2014-12-11,214.0
2014-12-12,233.0
2014-12-13,447.0
2014-12-14,575.0
2014-12-15,271.0
2014-12-16,258.0
2014-12-17,228.0
2014-12-18,211.0
2014-12-19,251.0
2014-12-20,392.0
2014-12-21,588.0
2014-12-22,361.0
2014-12-23,323.0
2014-12-24,230.0
2014-12-25,148.3
2014-12-26,449.0
2014-12-27,379.0
2014-12-28,472.0
2014-12-29,316.0
2014-12-30,406.0
2014-12-31,301.0
2015-01-01,63.3
2015-01-02,0.0
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,0.0
2015-03-03,0.0
