date,sales
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-18,0.0
2013-01-19,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,0.0
2013-01-26,0.0
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-01,0.0
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-08,0.0
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-15,0.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,0.0
2013-02-23,0.0
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-02,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-09,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-15,0.0
2013-03-16,0.0
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-22,0.0
2013-03-23,0.0
2013-03-24,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-03-29,0.0
2013-03-30,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-05,0.0
2013-04-06,0.0
2013-04-07,0.0
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,0.0
2013-04-12,0.0
2013-04-13,0.0
2013-04-14,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,0.0
2013-04-20,0.0
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-26,0.0
2013-04-27,0.0
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,0.0
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,0.0
2013-05-10,0.0
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-17,0.0
2013-05-18,0.0
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,0.0
2013-05-24,0.0
2013-05-25,0.0
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,0.0
2013-05-29,0.0
2013-05-30,0.0
2013-05-31,0.0
2013-06-01,0.0
2013-06-02,0.0
2013-06-03,0.0
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,0.0
2013-06-11,0.0
2013-06-12,0.0
2013-06-13,0.0
2013-06-14,0.0
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,0.0
2013-06-18,0.0
2013-06-19,0.0
2013-06-20,0.0
2013-06-21,0.0
2013-06-22,0.0
2013-06-23,0.0
2013-06-24,0.0
2013-06-25,0.0
2013-06-26,0.0
2013-06-27,0.0
2013-06-28,0.0
2013-06-29,0.0
2013-06-30,0.0
2013-07-01,0.0
2013-07-02,0.0
2013-07-03,0.0
2013-07-04,0.0
2013-07-05,0.0
2013-07-06,0.0
2013-07-07,0.0
2013-07-08,0.0
2013-07-09,0.0
2013-07-10,0.0
2013-07-11,0.0
2013-07-12,0.0
2013-07-13,0.0
2013-07-14,0.0
2013-07-15,0.0
2013-07-16,0.0
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,0.0
2013-07-20,0.0
2013-07-21,0.0
2013-07-22,0.0
2013-07-23,0.0
2013-07-24,0.0
2013-07-25,0.0
2013-07-26,0.0
2013-07-27,0.0
2013-07-28,0.0
2013-07-29,0.0
2013-07-30,0.0
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,0.0
2013-08-03,0.0
2013-08-04,0.0
2013-08-05,0.0
2013-08-06,0.0
2013-08-07,0.0
2013-08-08,0.0
2013-08-09,0.0
2013-08-10,0.0
2013-08-11,0.0
2013-08-12,0.0
2013-08-13,0.0
2013-08-14,0.0
2013-08-15,0.0
2013-08-16,0.0
2013-08-17,0.0
2013-08-18,0.0
2013-08-19,0.0
2013-08-20,0.0
2013-08-21,0.0
2013-08-22,0.0
2013-08-23,0.0
2013-08-24,0.0
2013-08-25,0.0
2013-08-26,0.0
2013-08-27,0.0
2013-08-28,0.0
2013-08-29,0.0
2013-08-30,0.0
2013-08-31,0.0
2013-09-01,0.0
2013-09-02,0.0
2013-09-03,0.0
2013-09-04,0.0
2013-09-05,0.0
2013-09-06,0.0
2013-09-07,0.0
2013-09-08,0.0
2013-09-09,0.0
2013-09-10,0.0
2013-09-11,0.0
2013-09-12,0.0
2013-09-13,0.0
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,0.0
2013-09-17,0.0
2013-09-18,0.0
2013-09-19,0.0
2013-09-20,0.0
2013-09-21,0.0
2013-09-22,0.0
2013-09-23,0.0
2013-09-24,0.0
2013-09-25,0.0
2013-09-26,0.0
2013-09-27,0.0
2013-09-28,0.0
2013-09-29,0.0
2013-09-30,0.0
2013-10-01,0.0
2013-10-02,0.0
2013-10-03,0.0
2013-10-04,0.0
2013-10-05,0.0
2013-10-06,0.0
2013-10-07,0.0
2013-10-08,0.0
2013-10-09,0.0
2013-10-10,0.0
2013-10-11,0.0
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,0.0
2013-10-15,0.0
2013-10-16,0.0
2013-10-17,0.0
2013-10-18,0.0
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,0.0
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,0.0
2013-10-25,0.0
2013-10-26,0.0
2013-10-27,0.0
2013-10-28,0.0
2013-10-29,0.0
2013-10-30,0.0
2013-10-31,0.0
2013-11-01,0.0
2013-11-02,0.0
2013-11-03,0.0
2013-11-04,0.0
2013-11-05,0.0
2013-11-06,0.0
2013-11-07,0.0
2013-11-08,0.0
2013-11-09,0.0
2013-11-10,0.0
2013-11-11,0.0
2013-11-12,0.0
2013-11-13,0.0
2013-11-14,0.0
2013-11-15,0.0
2013-11-16,0.0
2013-11-17,0.0
2013-11-18,0.0
2013-11-19,0.0
2013-11-20,0.0
2013-11-21,0.0
2013-11-22,0.0
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,0.0
2013-11-26,0.0
2013-11-27,0.0
2013-11-28,0.0
2013-11-29,0.0
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,0.0
2013-12-03,0.0
2013-12-04,0.0
2013-12-05,0.0
2013-12-06,0.0
2013-12-07,0.0
2013-12-08,0.0
2013-12-09,0.0
2013-12-10,0.0
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,0.0
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,0.0
2013-12-17,0.0
2013-12-18,0.0
2013-12-19,0.0
2013-12-20,0.0
2013-12-21,0.0
2013-12-22,0.0
2013-12-23,0.0
2013-12-24,0.0
2013-12-25,3.0
2013-12-26,0.0
2013-12-27,0.0
2013-12-28,0.0
2013-12-29,0.0
2013-12-30,0.0
2013-12-31,0.0
2014-01-01,9.0
2014-01-02,28.0
2014-01-03,32.0
2014-01-04,24.0
2014-01-05,30.0
2014-01-06,16.0
2014-01-07,15.0
2014-01-08,10.0
2014-01-09,165.0
2014-01-10,29.0
2014-01-11,11.0
2014-01-12,45.0
2014-01-13,21.0
2014-01-14,18.0
2014-01-15,20.0
2014-01-16,48.0
2014-01-17,27.0
2014-01-18,34.0
2014-01-19,15.0
2014-01-20,4.0
2014-01-21,18.0
2014-01-22,13.0
2014-01-23,23.0
2014-01-24,44.0
2014-01-25,38.0
2014-01-26,24.0
2014-01-27,7.0
2014-01-28,6.0
2014-01-29,120.0
2014-01-30,17.0
2014-01-31,9.0
2014-02-01,0.0
2014-02-02,0.0
2014-02-03,0.0
2014-02-04,0.0
2014-02-05,0.0
2014-02-06,0.0
2014-02-07,0.0
2014-02-08,0.0
2014-02-09,0.0
2014-02-10,0.0
2014-02-11,0.0
2014-02-12,0.0
2014-02-13,0.0
2014-02-14,0.0
2014-02-15,0.0
2014-02-16,0.0
2014-02-17,0.0
2014-02-18,0.0
2014-02-19,0.0
2014-02-20,0.0
2014-02-21,0.0
2014-02-22,0.0
2014-02-23,0.0
2014-02-24,0.0
2014-02-25,0.0
2014-02-26,0.0
2014-02-27,0.0
2014-02-28,0.0
2014-03-01,30.0
2014-03-02,25.0
2014-03-03,24.0
2014-03-04,26.0
2014-03-05,6.0
2014-03-06,68.0
2014-03-07,143.0
2014-03-08,4.0
2014-03-09,14.0
2014-03-10,10.0
2014-03-11,13.0
2014-03-12,12.0
2014-03-13,28.0
2014-03-14,32.0
2014-03-15,28.0
2014-03-16,11.0
2014-03-17,19.0
2014-03-18,9.0
2014-03-19,12.0
2014-03-20,18.0
2014-03-21,4.0
2014-03-22,70.0
2014-03-23,30.0
2014-03-24,13.0
2014-03-25,12.0
2014-03-26,5.0
2014-03-27,19.0
2014-03-28,6.0
2014-03-29,5.0
2014-03-30,11.0
2014-03-31,7.0
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,0.0
2014-04-04,0.0
2014-04-05,0.0
2014-04-06,0.0
2014-04-07,0.0
2014-04-08,0.0
2014-04-09,0.0
2014-04-10,0.0
2014-04-11,0.0
2014-04-12,0.0
2014-04-13,0.0
2014-04-14,0.0
2014-04-15,0.0
2014-04-16,0.0
2014-04-17,0.0
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,0.0
2014-04-22,0.0
2014-04-23,0.0
2014-04-24,0.0
2014-04-25,0.0
2014-04-26,0.0
2014-04-27,0.0
2014-04-28,0.0
2014-04-29,0.0
2014-04-30,0.0
2014-05-01,0.0
2014-05-02,0.0
2014-05-03,0.0
2014-05-04,0.0
2014-05-05,0.0
2014-05-06,0.0
2014-05-07,0.0
2014-05-08,0.0
2014-05-09,0.0
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,0.0
2014-05-16,0.0
2014-05-17,0.0
2014-05-18,0.0
2014-05-19,0.0
2014-05-20,0.0
2014-05-21,0.0
2014-05-22,0.0
2014-05-23,0.0
2014-05-24,0.0
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,0.0
2014-05-29,0.0
2014-05-30,0.0
2014-05-31,0.0
2014-06-01,0.0
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,0.0
2014-06-05,0.0
2014-06-06,0.0
2014-06-07,0.0
2014-06-08,0.0
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,0.0
2014-06-13,0.0
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,0.0
2014-06-19,0.0
2014-06-20,0.0
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,0.0
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,0.0
2014-06-28,0.0
2014-06-29,0.0
2014-06-30,0.0
2014-07-01,4.0
2014-07-02,15.0
2014-07-03,2.0
2014-07-04,8.0
2014-07-05,32.0
2014-07-06,9.0
2014-07-07,18.0
2014-07-08,5.0
2014-07-09,26.0
2014-07-10,15.0
2014-07-11,19.0
2014-07-12,32.0
2014-07-13,23.0
2014-07-14,10.0
2014-07-15,11.0
2014-07-16,7.0
2014-07-17,20.0
2014-07-18,27.0
2014-07-19,27.0
2014-07-20,21.0
2014-07-21,11.0
2014-07-22,23.0
2014-07-23,31.0
2014-07-24,7.0
2014-07-25,15.0
2014-07-26,28.0
2014-07-27,18.0
2014-07-28,20.0
2014-07-29,16.0
2014-07-30,16.0
2014-07-31,3.0
2014-08-01,0.0
2014-08-02,0.0
2014-08-03,0.0
2014-08-04,0.0
2014-08-05,0.0
2014-08-06,0.0
2014-08-07,0.0
2014-08-08,0.0
2014-08-09,0.0
2014-08-10,0.0
2014-08-11,0.0
2014-08-12,0.0
2014-08-13,0.0
2014-08-14,0.0
2014-08-15,0.0
2014-08-16,0.0
2014-08-17,0.0
2014-08-18,0.0
2014-08-19,0.0
2014-08-20,0.0
2014-08-21,0.0
2014-08-22,0.0
2014-08-23,0.0
2014-08-24,0.0
2014-08-25,0.0
2014-08-26,0.0
2014-08-27,0.0
2014-08-28,0.0
2014-08-29,0.0
2014-08-30,0.0
2014-08-31,0.0
2014-09-01,3.0
2014-09-02,6.0
2014-09-03,15.0
2014-09-04,17.0
2014-09-05,10.0
2014-09-06,21.0
2014-09-07,20.0
2014-09-08,10.0
2014-09-09,5.0
2014-09-10,26.0
2014-09-11,7.0
2014-09-12,20.0
2014-09-13,60.0
2014-09-14,30.0
2014-09-15,17.0
2014-09-16,12.0
2014-09-17,57.0
2014-09-18,10.0
2014-09-19,25.0
2014-09-20,16.0
2014-09-21,8.0
2014-09-22,28.0
2014-09-23,16.0
2014-09-24,21.0
2014-09-25,30.0
2014-09-26,17.0
2014-09-27,24.0
2014-09-28,9.0
2014-09-29,42.0
2014-09-30,20.0
2014-10-01,31.0
2014-10-02,39.0
2014-10-03,8.0
2014-10-04,69.0
2014-10-05,45.0
2014-10-06,5.0
2014-10-07,10.0
2014-10-08,16.0
2014-10-09,34.0
2014-10-10,12.0
2014-10-11,29.0
2014-10-12,7.0
2014-10-13,1.0
2014-10-14,3.0
2014-10-15,9.0
2014-10-16,5.0
2014-10-17,12.0
2014-10-18,30.0
2014-10-19,17.0
2014-10-20,12.0
2014-10-21,14.0
2014-10-22,34.0
2014-10-23,17.0
2014-10-24,11.0
2014-10-25,23.0
2014-10-26,12.0
2014-10-27,11.0
2014-10-28,6.0
2014-10-29,31.0
2014-10-30,33.0
2014-10-31,9.0
2014-11-01,31.0
2014-11-02,3.0
2014-11-03,17.0
2014-11-04,22.0
2014-11-05,4.0
2014-11-06,2.0
2014-11-07,24.0
2014-11-08,4.0
2014-11-09,26.0
2014-11-10,7.0
2014-11-11,4.0
2014-11-12,13.0
2014-11-13,15.0
2014-11-14,80.0
2014-11-15,14.0
2014-11-16,7.0
2014-11-17,19.0
2014-11-18,12.0
2014-11-19,8.0
2014-11-20,4.0
2014-11-21,25.0
2014-11-22,28.0
2014-11-23,30.0
2014-11-24,7.0
2014-11-25,9.0
2014-11-26,26.0
2014-11-27,18.0
2014-11-28,22.0
2014-11-29,21.0
2014-11-30,27.0
2014-12-01,43.0
2014-12-02,33.0
2014-12-03,13.0
2014-12-04,37.0
2014-12-05,30.0
2014-12-06,47.0
2014-12-07,17.0
2014-12-08,6.0
2014-12-09,17.0
2014-12-10,16.0
2014-12-11,25.0
2014-12-12,26.0
2014-12-13,36.0
2014-12-14,90.0
2014-12-15,6.0
2014-12-16,14.0
2014-12-17,9.0
2014-12-18,83.0
2014-12-19,39.0
2014-12-20,76.0
2014-12-21,95.0
2014-12-22,73.0
2014-12-23,40.0
2014-12-24,140.0
2014-12-25,48.3
2014-12-26,32.0
2014-12-27,12.0
2014-12-28,33.0
2014-12-29,34.0
2014-12-30,48.0
2014-12-31,30.0
2015-01-01,31.5
2015-01-02,39.0
2015-01-03,25.0
2015-01-04,5.0
2015-01-05,17.0
2015-01-06,23.0
2015-01-07,12.0
2015-01-08,6.0
2015-01-09,19.0
2015-01-10,60.0
2015-01-11,13.0
2015-01-12,3.0
2015-01-13,20.0
2015-01-14,10.0
2015-01-15,18.0
2015-01-16,7.0
2015-01-17,20.0
2015-01-18,18.0
2015-01-19,7.0
2015-01-20,20.0
2015-01-21,6.0
2015-01-22,21.0
2015-01-23,15.0
2015-01-24,17.0
2015-01-25,34.0
2015-01-26,13.0
2015-01-27,11.0
2015-01-28,10.0
2015-01-29,9.0
2015-01-30,20.0
2015-01-31,18.0
2015-02-01,11.0
2015-02-02,15.0
2015-02-03,12.0
2015-02-04,29.0
2015-02-05,15.0
2015-02-06,91.0
2015-02-07,11.0
2015-02-08,11.0
2015-02-09,11.0
2015-02-10,3.0
2015-02-11,25.0
2015-02-12,11.0
2015-02-13,40.0
2015-02-14,16.0
2015-02-15,9.0
2015-02-16,8.0
2015-02-17,16.0
2015-02-18,20.0
2015-02-19,8.0
2015-02-20,8.0
2015-02-21,19.0
2015-02-22,24.0
2015-02-23,7.0
2015-02-24,18.0
2015-02-25,12.0
2015-02-26,33.0
2015-02-27,17.0
2015-02-28,39.0
2015-03-01,26.0
2015-03-02,5.0
2015-03-03,12.0
