date,sales
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-18,0.0
2013-01-19,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,0.0
2013-01-26,0.0
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-01,0.0
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-08,0.0
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-15,0.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,0.0
2013-02-23,0.0
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-02,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-09,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-15,0.0
2013-03-16,0.0
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-22,0.0
2013-03-23,0.0
2013-03-24,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-03-29,0.0
2013-03-30,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-05,0.0
2013-04-06,0.0
2013-04-07,0.0
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,0.0
2013-04-12,0.0
2013-04-13,0.0
2013-04-14,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,0.0
2013-04-20,0.0
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-26,0.0
2013-04-27,0.0
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,0.0
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,0.0
2013-05-10,0.0
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-17,0.0
2013-05-18,0.0
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,0.0
2013-05-24,0.0
2013-05-25,0.0
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,0.0
2013-05-29,0.0
2013-05-30,0.0
2013-05-31,0.0
2013-06-01,0.0
2013-06-02,0.0
2013-06-03,0.0
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,0.0
2013-06-11,0.0
2013-06-12,0.0
2013-06-13,0.0
2013-06-14,0.0
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,0.0
2013-06-18,0.0
2013-06-19,0.0
2013-06-20,0.0
2013-06-21,0.0
2013-06-22,0.0
2013-06-23,0.0
2013-06-24,0.0
2013-06-25,0.0
2013-06-26,0.0
2013-06-27,0.0
2013-06-28,0.0
2013-06-29,0.0
2013-06-30,0.0
2013-07-01,0.0
2013-07-02,0.0
2013-07-03,0.0
2013-07-04,0.0
2013-07-05,0.0
2013-07-06,0.0
2013-07-07,0.0
2013-07-08,0.0
2013-07-09,0.0
2013-07-10,0.0
2013-07-11,0.0
2013-07-12,0.0
2013-07-13,0.0
2013-07-14,0.0
2013-07-15,0.0
2013-07-16,0.0
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,0.0
2013-07-20,0.0
2013-07-21,0.0
2013-07-22,0.0
2013-07-23,0.0
2013-07-24,0.0
2013-07-25,0.0
2013-07-26,0.0
2013-07-27,0.0
2013-07-28,0.0
2013-07-29,0.0
2013-07-30,0.0
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,0.0
2013-08-03,0.0
2013-08-04,0.0
2013-08-05,0.0
2013-08-06,0.0
2013-08-07,0.0
2013-08-08,0.0
2013-08-09,0.0
2013-08-10,0.0
2013-08-11,0.0
2013-08-12,0.0
2013-08-13,0.0
2013-08-14,0.0
2013-08-15,0.0
2013-08-16,0.0
2013-08-17,0.0
2013-08-18,0.0
2013-08-19,0.0
2013-08-20,0.0
2013-08-21,0.0
2013-08-22,0.0
2013-08-23,0.0
2013-08-24,0.0
2013-08-25,0.0
2013-08-26,0.0
2013-08-27,0.0
2013-08-28,0.0
2013-08-29,0.0
2013-08-30,0.0
2013-08-31,0.0
2013-09-01,0.0
2013-09-02,0.0
2013-09-03,0.0
2013-09-04,0.0
2013-09-05,0.0
2013-09-06,0.0
2013-09-07,0.0
2013-09-08,0.0
2013-09-09,0.0
2013-09-10,0.0
2013-09-11,0.0
2013-09-12,0.0
2013-09-13,0.0
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,0.0
2013-09-17,0.0
2013-09-18,0.0
2013-09-19,0.0
2013-09-20,0.0
2013-09-21,0.0
2013-09-22,0.0
2013-09-23,0.0
2013-09-24,0.0
2013-09-25,0.0
2013-09-26,0.0
2013-09-27,0.0
2013-09-28,0.0
2013-09-29,0.0
2013-09-30,0.0
2013-10-01,0.0
2013-10-02,0.0
2013-10-03,0.0
2013-10-04,0.0
2013-10-05,0.0
2013-10-06,0.0
2013-10-07,0.0
2013-10-08,0.0
2013-10-09,0.0
2013-10-10,0.0
2013-10-11,0.0
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,0.0
2013-10-15,0.0
2013-10-16,0.0
2013-10-17,0.0
2013-10-18,0.0
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,0.0
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,0.0
2013-10-25,0.0
2013-10-26,0.0
2013-10-27,0.0
2013-10-28,0.0
2013-10-29,0.0
2013-10-30,0.0
2013-10-31,0.0
2013-11-01,0.0
2013-11-02,0.0
2013-11-03,0.0
2013-11-04,0.0
2013-11-05,0.0
2013-11-06,0.0
2013-11-07,0.0
2013-11-08,0.0
2013-11-09,0.0
2013-11-10,0.0
2013-11-11,0.0
2013-11-12,0.0
2013-11-13,0.0
2013-11-14,0.0
2013-11-15,0.0
2013-11-16,0.0
2013-11-17,0.0
2013-11-18,0.0
2013-11-19,0.0
2013-11-20,0.0
2013-11-21,0.0
2013-11-22,0.0
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,0.0
2013-11-26,0.0
2013-11-27,0.0
2013-11-28,0.0
2013-11-29,0.0
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,0.0
2013-12-03,0.0
2013-12-04,0.0
2013-12-05,0.0
2013-12-06,0.0
2013-12-07,0.0
2013-12-08,0.0
2013-12-09,0.0
2013-12-10,0.0
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,0.0
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,0.0
2013-12-17,0.0
2013-12-18,0.0
2013-12-19,0.0
2013-12-20,0.0
2013-12-21,0.0
2013-12-22,0.0
2013-12-23,0.0
2013-12-24,0.0
2013-12-25,12.299999999999999
2013-12-26,0.0
2013-12-27,0.0
2013-12-28,0.0
2013-12-29,0.0
2013-12-30,0.0
2013-12-31,0.0
2014-01-01,26.1
2014-01-02,40.0
2014-01-03,54.0
2014-01-04,60.0
2014-01-05,46.0
2014-01-06,18.0
2014-01-07,37.0
2014-01-08,41.0
2014-01-09,36.0
2014-01-10,40.0
2014-01-11,41.0
2014-01-12,71.0
2014-01-13,40.0
2014-01-14,28.0
2014-01-15,28.0
2014-01-16,31.0
2014-01-17,82.0
2014-01-18,41.0
2014-01-19,33.0
2014-01-20,43.0
2014-01-21,18.0
2014-01-22,25.0
2014-01-23,33.0
2014-01-24,51.0
2014-01-25,42.0
2014-01-26,20.0
2014-01-27,9.0
2014-01-28,44.0
2014-01-29,29.0
2014-01-30,5.0
2014-01-31,100.0
2014-02-01,0.0
2014-02-02,0.0
2014-02-03,0.0
2014-02-04,0.0
2014-02-05,0.0
2014-02-06,0.0
2014-02-07,0.0
2014-02-08,0.0
2014-02-09,0.0
2014-02-10,0.0
2014-02-11,0.0
2014-02-12,0.0
2014-02-13,0.0
2014-02-14,0.0
2014-02-15,0.0
2014-02-16,0.0
2014-02-17,0.0
2014-02-18,0.0
2014-02-19,0.0
2014-02-20,0.0
2014-02-21,0.0
2014-02-22,0.0
2014-02-23,0.0
2014-02-24,0.0
2014-02-25,0.0
2014-02-26,0.0
2014-02-27,0.0
2014-02-28,0.0
2014-03-01,68.0
2014-03-02,36.0
2014-03-03,19.0
2014-03-04,34.0
2014-03-05,32.0
2014-03-06,17.0
2014-03-07,52.0
2014-03-08,31.0
2014-03-09,30.0
2014-03-10,14.0
2014-03-11,20.0
2014-03-12,27.0
2014-03-13,9.0
2014-03-14,55.0
2014-03-15,30.0
2014-03-16,67.0
2014-03-17,19.0
2014-03-18,17.0
2014-03-19,20.0
2014-03-20,11.0
2014-03-21,39.0
2014-03-22,55.0
2014-03-23,35.0
2014-03-24,22.0
2014-03-25,18.0
2014-03-26,60.0
2014-03-27,7.0
2014-03-28,30.0
2014-03-29,37.0
2014-03-30,53.0
2014-03-31,30.0
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,0.0
2014-04-04,0.0
2014-04-05,0.0
2014-04-06,0.0
2014-04-07,0.0
2014-04-08,0.0
2014-04-09,0.0
2014-04-10,0.0
2014-04-11,0.0
2014-04-12,0.0
2014-04-13,0.0
2014-04-14,0.0
2014-04-15,0.0
2014-04-16,0.0
2014-04-17,0.0
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,0.0
2014-04-22,0.0
2014-04-23,0.0
2014-04-24,0.0
2014-04-25,0.0
2014-04-26,0.0
2014-04-27,0.0
2014-04-28,0.0
2014-04-29,0.0
2014-04-30,0.0
2014-05-01,0.0
2014-05-02,0.0
2014-05-03,0.0
2014-05-04,0.0
2014-05-05,0.0
2014-05-06,0.0
2014-05-07,0.0
2014-05-08,0.0
2014-05-09,0.0
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,0.0
2014-05-16,0.0
2014-05-17,0.0
2014-05-18,0.0
2014-05-19,0.0
2014-05-20,0.0
2014-05-21,0.0
2014-05-22,0.0
2014-05-23,0.0
2014-05-24,0.0
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,0.0
2014-05-29,0.0
2014-05-30,0.0
2014-05-31,0.0
2014-06-01,0.0
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,0.0
2014-06-05,0.0
2014-06-06,0.0
2014-06-07,0.0
2014-06-08,0.0
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,0.0
2014-06-13,0.0
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,0.0
2014-06-19,0.0
2014-06-20,0.0
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,0.0
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,0.0
2014-06-28,0.0
2014-06-29,0.0
2014-06-30,0.0
2014-07-01,23.0
2014-07-02,42.0
2014-07-03,13.0
2014-07-04,21.0
2014-07-05,106.0
2014-07-06,69.0
2014-07-07,43.0
2014-07-08,89.0
2014-07-09,151.0
2014-07-10,62.0
2014-07-11,23.0
2014-07-12,37.0
2014-07-13,49.0
2014-07-14,50.0
2014-07-15,118.0
2014-07-16,49.0
2014-07-17,122.0
2014-07-18,135.0
2014-07-19,25.0
2014-07-20,27.0
2014-07-21,20.0
2014-07-22,33.0
2014-07-23,16.0
2014-07-24,30.0
2014-07-25,51.0
2014-07-26,60.0
2014-07-27,39.0
2014-07-28,23.0
2014-07-29,41.0
2014-07-30,57.0
2014-07-31,20.0
2014-08-01,0.0
2014-08-02,0.0
2014-08-03,0.0
2014-08-04,0.0
2014-08-05,0.0
2014-08-06,0.0
2014-08-07,0.0
2014-08-08,0.0
2014-08-09,0.0
2014-08-10,0.0
2014-08-11,0.0
2014-08-12,0.0
2014-08-13,0.0
2014-08-14,0.0
2014-08-15,0.0
2014-08-16,0.0
2014-08-17,0.0
2014-08-18,0.0
2014-08-19,0.0
2014-08-20,0.0
2014-08-21,0.0
2014-08-22,0.0
2014-08-23,0.0
2014-08-24,0.0
2014-08-25,0.0
2014-08-26,0.0
2014-08-27,0.0
2014-08-28,0.0
2014-08-29,0.0
2014-08-30,0.0
2014-08-31,0.0
2014-09-01,47.0
2014-09-02,16.0
2014-09-03,29.0
2014-09-04,9.0
2014-09-05,49.0
2014-09-06,41.0
2014-09-07,38.0
2014-09-08,127.0
2014-09-09,8.0
2014-09-10,63.0
2014-09-11,7.0
2014-09-12,35.0
2014-09-13,44.0
2014-09-14,30.0
2014-09-15,17.0
2014-09-16,124.0
2014-09-17,399.0
2014-09-18,10.0
2014-09-19,65.0
2014-09-20,71.0
2014-09-21,56.0
2014-09-22,38.0
2014-09-23,16.0
2014-09-24,13.0
2014-09-25,11.0
2014-09-26,40.0
2014-09-27,58.0
2014-09-28,32.0
2014-09-29,18.0
2014-09-30,68.0
2014-10-01,33.0
2014-10-02,33.0
2014-10-03,38.0
2014-10-04,31.0
2014-10-05,35.0
2014-10-06,33.0
2014-10-07,43.0
2014-10-08,26.0
2014-10-09,82.0
2014-10-10,73.0
2014-10-11,59.0
2014-10-12,47.0
2014-10-13,68.0
2014-10-14,49.0
2014-10-15,30.0
2014-10-16,30.0
2014-10-17,25.0
2014-10-18,38.0
2014-10-19,75.0
2014-10-20,14.0
2014-10-21,18.0
2014-10-22,64.0
2014-10-23,88.0
2014-10-24,14.0
2014-10-25,81.0
2014-10-26,34.0
2014-10-27,23.0
2014-10-28,9.0
2014-10-29,22.0
2014-10-30,29.0
2014-10-31,46.0
2014-11-01,69.0
2014-11-02,36.0
2014-11-03,70.0
2014-11-04,43.0
2014-11-05,44.0
2014-11-06,33.0
2014-11-07,77.0
2014-11-08,61.0
2014-11-09,76.0
2014-11-10,45.0
2014-11-11,34.0
2014-11-12,34.0
2014-11-13,74.0
2014-11-14,64.0
2014-11-15,97.0
2014-11-16,38.0
2014-11-17,93.0
2014-11-18,90.0
2014-11-19,62.0
2014-11-20,20.0
2014-11-21,29.0
2014-11-22,74.0
2014-11-23,157.0
2014-11-24,78.0
2014-11-25,65.0
2014-11-26,91.0
2014-11-27,25.0
2014-11-28,55.0
2014-11-29,115.0
2014-11-30,94.0
2014-12-01,66.0
2014-12-02,56.0
2014-12-03,46.0
2014-12-04,62.0
2014-12-05,59.0
2014-12-06,67.0
2014-12-07,70.0
2014-12-08,56.0
2014-12-09,51.0
2014-12-10,81.0
2014-12-11,56.0
2014-12-12,78.0
2014-12-13,138.0
2014-12-14,85.0
2014-12-15,31.0
2014-12-16,119.0
2014-12-17,91.0
2014-12-18,123.0
2014-12-19,135.0
2014-12-20,271.0
2014-12-21,89.0
2014-12-22,143.0
2014-12-23,184.0
2014-12-24,173.0
2014-12-25,90.1
2014-12-26,147.0
2014-12-27,71.0
2014-12-28,79.0
2014-12-29,98.0
2014-12-30,170.0
2014-12-31,153.0
2015-01-01,75.7
2015-01-02,150.0
2015-01-03,118.0
2015-01-04,101.0
2015-01-05,37.0
2015-01-06,53.0
2015-01-07,205.0
2015-01-08,58.0
2015-01-09,143.0
2015-01-10,108.0
2015-01-11,82.0
2015-01-12,37.0
2015-01-13,105.0
2015-01-14,42.0
2015-01-15,49.0
2015-01-16,74.0
2015-01-17,75.0
2015-01-18,27.0
2015-01-19,47.0
2015-01-20,52.0
2015-01-21,14.0
2015-01-22,21.0
2015-01-23,46.0
2015-01-24,91.0
2015-01-25,56.0
2015-01-26,60.0
2015-01-27,112.0
2015-01-28,50.0
2015-01-29,38.0
2015-01-30,22.0
2015-01-31,84.0
2015-02-01,53.0
2015-02-02,47.0
2015-02-03,42.0
2015-02-04,35.0
2015-02-05,72.0
2015-02-06,105.0
2015-02-07,33.0
2015-02-08,48.0
2015-02-09,28.0
2015-02-10,74.0
2015-02-11,20.0
2015-02-12,27.0
2015-02-13,31.0
2015-02-14,56.0
2015-02-15,47.0
2015-02-16,40.0
2015-02-17,48.0
2015-02-18,20.0
2015-02-19,65.0
2015-02-20,58.0
2015-02-21,75.0
2015-02-22,55.0
2015-02-23,26.0
2015-02-24,67.0
2015-02-25,51.0
2015-02-26,39.0
2015-02-27,69.0
2015-02-28,100.0
2015-03-01,50.0
2015-03-02,26.0
2015-03-03,22.0
